apartment_id,building_age_years,wing,entrance,floor,apartment_area_m2,ceiling_height_m,window_quality,heating_type,corner_apartment,room_temp_c,window_ventilation_per_day,humidity_pct,radiator_distance_m,children_count,cat_present,robot_vacuum,tree_species,tree_height_cm,tree_form,stand_type,cut_days_before_jan1,potted_tree,waterings_per_week,mist_spray,tinsel_level,ornaments_weight_kg,led_garland,garland_hours_per_day,survived_to_18jan
apt_train_000001,27,east,6,16,58.7,2.73,new,central,1,21.8,1,42.0,2.1,2,1,0,fir,148,normal,bucket,10,0,1.0,1,high,4.53,0,11.3,1
apt_train_000002,27,west,9,20,61.9,2.72,normal,electric_heater,1,21.9,1,,0.16,1,0,0,fir,153,sparse,bucket,12,0,1.0,1,low,,0,2.9,0
apt_train_000003,27,north,2,9,48.0,2.48,normal,central,0,20.0,0,67.0,0.15,0,1,0,spruce,201,sparse,simple_stand,0,0,2.0,0,medium,3.17,1,15.2,0
apt_train_000004,27,west,11,14,32.1,2.54,normal,central,1,25.5,2,34.0,0.18,0,0,1,spruce,135,sparse,water_reservoir,22,0,6.0,1,medium,2.9,0,4.6,0
apt_train_000005,27,south,3,20,57.9,2.73,old,electric_heater,1,20.8,3,39.0,1.55,1,0,0,spruce,141,sparse,water_reservoir,2,0,4.0,1,medium,2.38,1,0.0,1
apt_train_000006,27,south,5,24,30.3,2.72,normal,electric_heater,1,23.0,1,57.0,0.59,0,0,0,spruce,182,normal,bucket,17,0,6.0,0,medium,2.59,0,8.8,1
apt_train_000007,27,west,5,28,70.5,2.66,new,central,0,22.9,0,,2.66,0,1,1,spruce,146,sparse,simple_stand,13,0,,1,medium,1.87,1,8.9,0
apt_train_000008,27,south,1,29,57.5,2.68,old,central,0,23.1,2,30.0,1.07,0,0,0,spruce,205,normal,bucket,2,0,4.0,0,low,0.0,1,3.9,0
apt_train_000009,27,east,1,19,73.2,2.66,normal,central,0,21.4,1,45.0,0.17,0,0,0,pine,155,normal,simple_stand,13,0,1.0,0,low,1.75,1,8.3,1
apt_train_000010,27,north,7,24,49.3,2.88,normal,electric_heater,0,22.7,0,46.0,0.45,1,1,1,spruce,139,normal,water_reservoir,5,0,5.0,0,low,1.31,1,12.1,1
apt_train_000011,27,west,3,13,69.3,2.82,normal,electric_heater,1,24.5,1,35.0,0.38,1,0,0,pine,161,dense,bucket,15,0,0.0,0,high,,0,4.7,0
apt_train_000012,27,east,5,2,71.2,2.68,normal,electric_heater,0,21.6,2,42.0,1.39,0,1,0,fir,190,dense,simple_stand,6,0,3.0,1,low,0.9,1,7.1,0
apt_train_000013,27,south,9,2,69.0,2.79,new,electric_heater,1,24.8,2,19.0,1.17,0,1,0,fir,215,dense,water_reservoir,2,0,7.0,0,low,3.0,1,,0
apt_train_000014,27,west,1,28,46.7,2.58,old,central,0,24.3,4,42.0,0.93,0,1,0,spruce,122,dense,water_reservoir,6,0,8.0,1,high,3.28,1,10.3,1
apt_train_000015,27,south,9,21,78.5,2.7,new,central,1,28.8,4,39.0,0.62,0,1,0,fir,155,normal,bucket,8,0,2.0,1,medium,0.0,0,8.3,0
apt_train_000016,27,south,1,19,85.7,2.51,new,central,0,24.4,0,21.0,1.43,1,0,0,fir,226,normal,simple_stand,11,0,4.0,0,low,1.05,1,15.9,0
apt_train_000017,27,north,10,16,79.1,2.7,old,central,0,22.8,1,39.0,0.48,0,0,0,spruce,198,normal,simple_stand,0,0,2.0,0,low,0.59,1,10.8,0
apt_train_000018,27,south,12,1,68.0,2.8,new,central,1,22.4,3,29.0,0.15,2,0,0,spruce,198,normal,bucket,8,0,4.0,0,low,,0,0.0,1
apt_train_000019,27,north,10,22,67.6,2.46,normal,central,0,19.5,2,54.0,0.99,0,0,0,pine,124,dense,water_reservoir,9,0,2.0,1,medium,3.19,1,11.4,1
apt_train_000020,27,south,3,19,85.0,2.54,new,electric_heater,1,24.3,1,40.0,1.28,0,0,1,spruce,180,sparse,simple_stand,5,0,5.0,0,medium,2.66,0,7.5,0
apt_train_000021,27,west,3,27,69.4,2.45,normal,central,1,18.3,2,35.0,0.92,1,1,0,spruce,170,normal,simple_stand,8,0,6.0,0,medium,2.33,1,7.4,1
apt_train_000022,27,south,9,15,37.5,2.63,normal,electric_heater,1,24.3,6,42.0,0.41,0,1,0,spruce,191,normal,simple_stand,14,0,1.0,0,medium,2.15,0,10.2,0
apt_train_000023,27,south,1,7,37.0,2.72,normal,electric_heater,0,24.0,1,,0.71,1,0,0,spruce,208,dense,bucket,11,0,2.0,0,medium,2.72,1,1.7,1
apt_train_000024,27,west,3,1,72.5,2.46,normal,central,1,20.7,1,59.0,0.21,1,1,0,fir,168,normal,simple_stand,8,0,2.0,1,low,1.93,1,3.5,0
apt_train_000025,27,west,4,9,63.5,2.83,normal,central,0,24.1,2,39.0,1.58,0,1,0,spruce,163,dense,simple_stand,7,0,3.0,0,medium,2.73,1,4.4,1
apt_train_000026,27,east,2,17,88.7,2.82,old,central,0,19.4,3,44.0,0.71,0,0,0,fir,251,normal,water_reservoir,20,0,4.0,0,high,2.22,1,4.8,0
apt_train_000027,27,east,8,1,50.4,2.78,normal,central,0,23.1,1,30.0,1.09,1,0,0,pine,136,dense,water_reservoir,8,0,8.0,1,medium,3.11,0,12.5,1
apt_train_000028,27,south,8,25,58.1,2.76,normal,electric_heater,0,24.1,1,38.0,0.58,0,0,1,fir,129,normal,simple_stand,7,0,2.0,0,low,2.75,0,6.3,1
apt_train_000029,27,north,4,17,51.9,2.78,normal,central,0,20.0,0,57.0,2.22,1,0,0,spruce,149,normal,simple_stand,11,0,3.0,1,medium,1.05,0,3.6,1
apt_train_000030,27,west,9,24,54.7,2.68,old,central,1,19.7,3,51.0,0.22,1,0,1,spruce,192,normal,simple_stand,13,0,3.0,1,medium,0.0,1,8.4,0
apt_train_000031,27,east,7,19,56.4,2.64,normal,central,0,23.7,0,26.0,1.51,1,1,1,spruce,164,normal,bucket,7,0,6.0,1,medium,2.04,1,3.8,0
apt_train_000032,27,north,6,9,64.1,2.96,normal,central,1,22.5,2,42.0,0.3,1,1,0,spruce,103,dense,unknown,8,0,2.0,1,medium,1.2,1,7.0,0
apt_train_000033,27,east,10,27,21.2,2.8,old,electric_heater,1,23.1,2,41.0,1.26,0,0,0,fir,157,normal,bucket,5,0,1.0,1,medium,3.05,1,7.3,1
apt_train_000034,27,west,1,29,47.3,2.79,new,electric_heater,0,22.3,2,,0.56,1,0,0,pine,115,normal,bucket,8,0,4.0,1,high,1.93,0,0.4,1
apt_train_000035,27,east,7,20,24.9,2.73,new,central,1,22.7,4,31.0,2.03,2,0,0,spruce,201,sparse,simple_stand,9,0,6.0,0,medium,3.01,1,0.0,1
apt_train_000036,27,west,2,19,63.5,2.7,normal,central,0,24.8,0,29.0,1.01,2,0,0,spruce,151,dense,bucket,11,0,5.0,0,medium,2.99,1,12.5,1
apt_train_000037,27,north,11,10,62.8,2.55,normal,electric_heater,0,21.4,0,38.0,0.34,0,1,0,spruce,184,dense,simple_stand,3,0,0.0,0,medium,3.68,1,12.4,0
